C¢digo;Descriá∆o;Data In°cio;Data Fim;Ato Legal In°cio;N£mero;Ano
0302.13.00;-- Salm‰es-do-pac°fico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus);01/04/2022;31/12/9999;Res Camex;272;2021
0302.14.00;-- Salm∆o-do-atlÉntico (Salmo salar) e salm∆o-do-dan£bio (Hucho hucho);01/04/2022;31/12/9999;Res Camex;272;2021
0302.19.00;-- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0302.2;- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto subprodutos comest°veis de peixes das subposiá‰es 0302.91 a 0302.99:;01/04/2022;31/12/9999;Res Camex;272;2021
0302.21.00;-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis);01/04/2022;31/12/9999;Res Camex;272;2021
0302.22.00;-- Solha (Pleuronectes platessa);01/04/2022;31/12/9999;Res Camex;272;2021
0302.23.00;-- Linguados (Solea spp.);01/04/2022;31/12/9999;Res Camex;272;2021
0302.24.00;-- Pregado (Psetta maxima);01/04/2022;31/12/9999;Res Camex;272;2021
0302.29.00;-- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0302.3;- Atuns (do gànero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis), exceto subprodutos comest°veis de peixes das subposiá‰es 0302.91 a 0302.99:;01/04/2022;31/12/9999;Res Camex;272;2021
0302.31.00;-- Albacora-branca (atum) (Thunnus alalunga);01/04/2022;31/12/9999;Res Camex;272;2021
0302.32.00;-- Albacora-laje (atum) (Thunnus albacares);01/04/2022;31/12/9999;Res Camex;272;2021
0302.33.00;-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis);01/04/2022;31/12/9999;Res Camex;272;2021
0302.34.00;-- Albacora-bandolim (atum) (Thunnus obesus);01/04/2022;31/12/9999;Res Camex;272;2021
0302.35.00;-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis);01/04/2022;31/12/9999;Res Camex;272;2021
0302.36.00;-- Atum-azul do sul (atum) (Thunnus maccoyii);01/04/2022;31/12/9999;Res Camex;272;2021
0302.39.00;-- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0302.4;- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueir‰es*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do-°ndico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xarÇus (Caranx spp.), bijupir† (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulh∆o-do-jap∆o (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae), exceto subprodutos comest°veis de peixes das subposiá‰es 0302.91 a 0302.99:;01/04/2022;31/12/9999;Res Camex;272;2021
0302.41.00;-- Arenques (Clupea harengus, Clupea pallasii);01/04/2022;31/12/9999;Res Camex;272;2021
0302.42;-- Anchovas (Biqueir‰es*) (Engraulis spp.);01/04/2022;31/12/9999;Res Camex;272;2021
0302.42.10;Anchoita (Engraulis anchoita);01/04/2022;31/12/9999;Res Camex;272;2021
0302.42.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0302.43.00;-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus);01/04/2022;31/12/9999;Res Camex;272;2021
0302.44.00;-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus);01/04/2022;31/12/9999;Res Camex;272;2021
